K1,K3,C11,C12,C44,direzione,q_x,q_y,q_z,e1,e2,e3,L_coeff1,L_coeff2,L_coeff3,cmp_T_L
0.1,0.2,2.99995,-0.999982,2.59995,110,0.707107,0.707107,0,1.99997,2.59995,3.59993,0,0,1,n
0.1,0.2,2.99995,-0.999982,2.59995,111,0.57735,0.57735,0.57735,2.19996,2.19996,3.79993,2.77556e-16,-1.52656e-16,1,n
0.1,0.25,3.39994,-1.19998,3.19994,100,1,0,0,3.19994,3.19994,3.39994,0,0,1,n
0.1,0.25,3.39994,-1.19998,3.19994,110,0.707107,0.707107,0,2.29996,3.19994,4.29992,0,0,1,n
0.1,0.25,3.39994,-1.19998,3.19994,111,0.57735,0.57735,0.57735,2.59995,2.59995,4.59991,4.44089e-16,0,1,n
0.1,0.3,3.79993,-1.39998,3.79993,100,1,0,0,3.79993,3.79993,3.79993,1,0,0,=
0.1,0.3,3.79993,-1.39998,3.79993,110,0.707107,0.707107,0,2.59995,3.79993,4.9999,0,0,1,n
0.1,0.3,3.79993,-1.39998,3.79993,111,0.57735,0.57735,0.57735,2.99995,2.99995,5.3999,3.60822e-16,2.22045e-16,1,n
0.1,0.35,4.19993,-1.59997,4.39992,100,1,0,0,4.19993,4.39992,4.39992,1,0,0,y
0.1,0.35,4.19993,-1.59997,4.39992,110,0.707107,0.707107,0,2.89995,4.39992,5.6999,0,0,1,n
0.1,0.35,4.19993,-1.59997,4.39992,111,0.57735,0.57735,0.57735,3.39994,3.39994,6.19989,5.55112e-17,5.55112e-17,1,n
0.1,0.4,4.59992,-1.79997,4.99991,100,1,0,0,4.59992,4.99991,4.99991,1,0,0,y
0.1,0.4,4.59992,-1.79997,4.99991,110,0.707107,0.707107,0,3.19994,4.99991,6.39988,0,0,1,n
0.1,0.4,4.59992,-1.79997,4.99991,111,0.57735,0.57735,0.57735,3.79993,3.79993,6.99987,-2.22045e-16,-8.32667e-17,1,n
0.1,0.45,4.99991,-1.99996,5.5999,100,1,0,0,4.99991,5.5999,5.5999,1,0,0,y
0.1,0.45,4.99991,-1.99996,5.5999,110,0.707107,0.707107,0,3.49993,5.5999,7.09987,0,0,1,n
0.1,0.45,4.99991,-1.99996,5.5999,111,0.57735,0.57735,0.57735,4.19992,4.19992,7.79986,5.55112e-17,-1.66533e-16,1,n
0.1,0.5,5.39991,-2.19996,6.19989,100,1,0,0,5.39991,6.19989,6.19989,1,0,0,y
0.1,0.5,5.39991,-2.19996,6.19989,110,0.707107,0.707107,0,3.79993,6.19989,7.79986,0,0,1,n
0.1,0.5,5.39991,-2.19996,6.19989,111,0.57735,0.57735,0.57735,4.59992,4.59992,8.59985,-5.55112e-17,5.55112e-17,1,n
0.1,0.55,5.7999,-2.39996,6.79988,100,1,0,0,5.7999,6.79988,6.79988,1,0,0,y
0.1,0.55,5.7999,-2.39996,6.79988,110,0.707107,0.707107,0,4.09993,6.79988,8.49985,0,0,1,n
0.1,0.55,5.7999,-2.39996,6.79988,111,0.57735,0.57735,0.57735,4.99991,4.99991,9.39983,-5.55112e-17,2.498e-16,1,n
0.1,0.6,6.19989,-2.59995,7.39987,100,1,0,0,6.19989,7.39987,7.39987,1,0,0,y
0.1,0.6,6.19989,-2.59995,7.39987,110,0.707107,0.707107,0,4.39992,7.39987,9.19984,0,0,1,n
0.1,0.6,6.19989,-2.59995,7.39987,111,0.57735,0.57735,0.57735,5.3999,5.3999,10.1998,-5.55112e-17,5.55112e-17,1,n
0.1,0.65,6.59988,-2.79995,7.99986,100,1,0,0,6.59988,7.99986,7.99986,1,0,0,y
0.1,0.65,6.59988,-2.79995,7.99986,110,0.707107,0.707107,0,4.69991,7.99986,9.89982,0,0,1,n
0.1,0.65,6.59988,-2.79995,7.99986,111,0.57735,0.57735,0.57735,5.7999,5.7999,10.9998,4.996e-16,0,1,n
0.1,0.7,6.99988,-2.99995,8.59985,100,1,0,0,6.99988,8.59985,8.59985,1,0,0,y
0.1,0.7,6.99988,-2.99995,8.59985,110,0.707107,0.707107,0,4.99991,8.59985,10.5998,0,0,1,n
0.1,0.7,6.99988,-2.99995,8.59985,111,0.57735,0.57735,0.57735,6.19989,6.19989,11.7998,5.55112e-17,1.66533e-16,1,n
0.15,0,1.59997,-0.299995,0.299995,100,1,0,0,0.299995,0.299995,1.59997,0,0,1,n
