LAMMPS data file for SC lattice

125 atoms
19125 angles

1 atom types
6 angle types

0.0 5 xlo xhi
0.0 5 ylo yhi
0.0 5 zlo zhi

Masses

1 1.0

Atoms

709 4 125 5 26
710 6 125 5 35
711 3 104 5 101
712 2 104 5 110
713 2 104 5 24
714 4 104 5 21
715 2 104 5 9
716 4 104 5 6
717 4 104 5 50
718 3 104 5 29
719 6 104 5 26
720 4 104 5 35
721 2 101 5 110
722 4 101 5 24
723 2 101 5 21
724 4 101 5 9
725 2 101 5 6
726 4 101 5 50
727 6 101 5 29
728 3 101 5 26
729 4 101 5 35
730 4 110 5 24
731 4 110 5 21
732 2 110 5 9
733 2 110 5 6
734 6 110 5 50
735 4 110 5 29
736 4 110 5 26
737 3 110 5 35
738 3 24 5 21
739 3 24 5 9
740 6 24 5 6
741 2 24 5 50
742 2 24 5 29
743 4 24 5 26
744 4 24 5 35
745 6 21 5 9
746 3 21 5 6
747 2 21 5 50
748 4 21 5 29
749 2 21 5 26
750 4 21 5 35
751 3 9 5 6
752 4 9 5 50
753 2 9 5 29
754 4 9 5 26
755 2 9 5 35
756 4 6 5 50
757 4 6 5 29
758 2 6 5 26
759 2 6 5 35
760 2 50 5 29
761 2 50 5 26
762 3 50 5 35
763 3 29 5 26
764 2 29 5 35
765 2 26 5 35
766 3 106 6 1
767 3 106 6 10
768 3 106 6 7
769 3 106 6 11
770 6 106 6 31
771 1 106 6 101
772 1 106 6 110
773 1 106 6 107
774 1 106 6 111
775 3 106 6 5
776 3 106 6 2
777 3 106 6 15
778 3 106 6 12
779 5 106 6 26
780 5 106 6 35
781 5 106 6 32
782 5 106 6 36
783 3 1 6 10
784 3 1 6 7
785 6 1 6 11
786 3 1 6 31
787 1 1 6 101
788 3 1 6 110
789 3 1 6 107
790 5 1 6 111
791 1 1 6 5
792 1 1 6 2
793 5 1 6 15
794 5 1 6 12
795 1 1 6 26
796 3 1 6 35
797 3 1 6 32
798 5 1 6 36
799 6 10 6 7
800 3 10 6 11
801 3 10 6 31
802 3 10 6 101
803 1 10 6 110
804 5 10 6 107
805 3 10 6 111
806 1 10 6 5
807 5 10 6 2
808 1 10 6 15
809 5 10 6 12
810 3 10 6 26
811 1 10 6 35
812 5 10 6 32
813 3 10 6 36
814 3 7 6 11
815 3 7 6 31
816 3 7 6 101
817 5 7 6 110
818 1 7 6 107
819 3 7 6 111
820 5 7 6 5
821 1 7 6 2
822 5 7 6 15
823 1 7 6 12
824 3 7 6 26
825 5 7 6 35
826 1 7 6 32
827 3 7 6 36
828 3 11 6 31
829 5 11 6 101
830 3 11 6 110
831 3 11 6 107
832 1 11 6 111
833 5 11 6 5
834 5 11 6 2
835 1 11 6 15
836 1 11 6 12
837 5 11 6 26
838 3 11 6 35
839 3 11 6 32
840 1 11 6 36
841 5 31 6 101
842 5 31 6 110
843 5 31 6 107
844 5 31 6 111
845 3 31 6 5
846 3 31 6 2
847 3 31 6 15
848 3 31 6 12
849 1 31 6 26
850 1 31 6 35
851 1 31 6 32
852 1 31 6 36
853 2 101 6 110
854 2 101 6 107
855 3 101 6 111
856 2 101 6 5
857 2 101 6 2
858 4 101 6 15
859 4 101 6 12
860 3 101 6 26
861 4 101 6 35
862 4 101 6 32
863 6 101 6 36
864 3 110 6 107
865 2 110 6 111
866 2 110 6 5
867 4 110 6 2
868 2 110 6 15
869 4 110 6 12
870 4 110 6 26
871 3 110 6 35
872 6 110 6 32
873 4 110 6 36
874 2 107 6 111
875 4 107 6 5
876 2 107 6 2
877 4 107 6 15
878 2 107 6 12
879 4 107 6 26
880 6 107 6 35
881 3 107 6 32
882 4 107 6 36
883 4 111 6 5
884 4 111 6 2
885 2 111 6 15
886 2 111 6 12
887 6 111 6 26
888 4 111 6 35
889 4 111 6 32
890 3 111 6 36
891 3 5 6 2
892 3 5 6 15
893 6 5 6 12
894 2 5 6 26
895 2 5 6 35
896 4 5 6 32
897 4 5 6 36
898 6 2 6 15
899 3 2 6 12
900 2 2 6 26
901 4 2 6 35
902 2 2 6 32
903 4 2 6 36
904 3 15 6 12
905 4 15 6 26
906 2 15 6 35
907 4 15 6 32
908 2 15 6 36
909 4 12 6 26
910 4 12 6 35
911 2 12 6 32
912 2 12 6 36
913 2 26 6 35
914 2 26 6 32
915 3 26 6 36
916 3 35 6 32
917 2 35 6 36
918 2 32 6 36
919 3 107 7 2
920 3 107 7 6
921 3 107 7 8
922 3 107 7 12
923 6 107 7 32
924 1 107 7 102
925 1 107 7 106
926 1 107 7 108
927 1 107 7 112
928 3 107 7 1
929 3 107 7 3
930 3 107 7 11
931 3 107 7 13
932 5 107 7 27
933 5 107 7 31
934 5 107 7 33
935 5 107 7 37
936 3 2 7 6
937 3 2 7 8
938 6 2 7 12
939 3 2 7 32
940 1 2 7 102
941 3 2 7 106
942 3 2 7 108
943 5 2 7 112
944 1 2 7 1
945 1 2 7 3
946 5 2 7 11
947 5 2 7 13
948 1 2 7 27
949 3 2 7 31
950 3 2 7 33
951 5 2 7 37
952 6 6 7 8
953 3 6 7 12
954 3 6 7 32
955 3 6 7 102
956 1 6 7 106
957 5 6 7 108
958 3 6 7 112
959 1 6 7 1
960 5 6 7 3
961 1 6 7 11
962 5 6 7 13
963 3 6 7 27
964 1 6 7 31
965 5 6 7 33
966 3 6 7 37
967 3 8 7 12
968 3 8 7 32
969 3 8 7 102
970 5 8 7 106
971 1 8 7 108
972 3 8 7 112
973 5 8 7 1
974 1 8 7 3
975 5 8 7 11
976 1 8 7 13
977 3 8 7 27
978 5 8 7 31
979 1 8 7 33
980 3 8 7 37
981 3 12 7 32
982 5 12 7 102
983 3 12 7 106
984 3 12 7 108
985 1 12 7 112
986 5 12 7 1
987 5 12 7 3
988 1 12 7 11
989 1 12 7 13
990 5 12 7 27
991 3 12 7 31
992 3 12 7 33
993 1 12 7 37
994 5 32 7 102
995 5 32 7 106
996 5 32 7 108
997 5 32 7 112
998 3 32 7 1
999 3 32 7 3
1000 3 32 7 11
1001 3 32 7 13
1002 1 32 7 27
1003 1 32 7 31
1004 1 32 7 33
1005 1 32 7 37
1006 2 102 7 106
1007 2 102 7 108
1008 3 102 7 112
1009 2 102 7 1
1010 2 102 7 3
1011 4 102 7 11
1012 4 102 7 13
1013 3 102 7 27
1014 4 102 7 31
1015 4 102 7 33
1016 6 102 7 37
1017 3 106 7 108
1018 2 106 7 112
1019 2 106 7 1
1020 4 106 7 3
1021 2 106 7 11
1022 4 106 7 13
1023 4 106 7 27
1024 3 106 7 31
1025 6 106 7 33
1026 4 106 7 37
1027 2 108 7 112
1028 4 108 7 1
1029 2 108 7 3
1030 4 108 7 11
1031 2 108 7 13
1032 4 108 7 27
1033 6 108 7 31
1034 3 108 7 33
1035 4 108 7 37
1036 4 112 7 1
1037 4 112 7 3
1038 2 112 7 11
1039 2 112 7 13
1040 6 112 7 27
1041 4 112 7 31
1042 4 112 7 33
1043 3 112 7 37
1044 3 1 7 3
1045 3 1 7 11
1046 6 1 7 13
1047 2 1 7 27
1048 2 1 7 31
1049 4 1 7 33
1050 4 1 7 37
1051 6 3 7 11
1052 3 3 7 13
1053 2 3 7 27
1054 4 3 7 31
1055 2 3 7 33
1056 4 3 7 37
1057 3 11 7 13
1058 4 11 7 27
1059 2 11 7 31
1060 4 11 7 33
1061 2 11 7 37
1062 4 13 7 27
1063 4 13 7 31
1064 2 13 7 33
1065 2 13 7 37
1066 2 27 7 31
1067 2 27 7 33
1068 3 27 7 37
1069 3 31 7 33
1070 2 31 7 37
1071 2 33 7 37
1072 3 108 8 3
1073 3 108 8 7
1074 3 108 8 9
1075 3 108 8 13
1076 6 108 8 33
1077 1 108 8 103
1078 1 108 8 107
1079 1 108 8 109
1080 1 108 8 113
1081 3 108 8 2
1082 3 108 8 4
1083 3 108 8 12
1084 3 108 8 14
1085 5 108 8 28
1086 5 108 8 32
1087 5 108 8 34
1088 5 108 8 38
1089 3 3 8 7
1090 3 3 8 9
1091 6 3 8 13
1092 3 3 8 33
1093 1 3 8 103
1094 3 3 8 107
1095 3 3 8 109
1096 5 3 8 113
1097 1 3 8 2
1098 1 3 8 4
1099 5 3 8 12
1100 5 3 8 14
1101 1 3 8 28
1102 3 3 8 32
1103 3 3 8 34
1104 5 3 8 38
1105 6 7 8 9
1106 3 7 8 13
1107 3 7 8 33
1108 3 7 8 103
1109 1 7 8 107
1110 5 7 8 109
1111 3 7 8 113
1112 1 7 8 2
1113 5 7 8 4
1114 1 7 8 12
1115 5 7 8 14
1116 3 7 8 28
1117 1 7 8 32
1118 5 7 8 34
1119 3 7 8 38
1120 3 9 8 13
1121 3 9 8 33
1122 3 9 8 103
1123 5 9 8 107
1124 1 9 8 109
1125 3 9 8 113
1126 5 9 8 2
1127 1 9 8 4
1128 5 9 8 12
1129 1 9 8 14
1130 3 9 8 28
1131 5 9 8 32
1132 1 9 8 34
1133 3 9 8 38
1134 3 13 8 33
1135 5 13 8 103
1136 3 13 8 107
1137 3 13 8 109
1138 1 13 8 113
1139 5 13 8 2
1140 5 13 8 4
1141 1 13 8 12
1142 1 13 8 14
1143 5 13 8 28
1144 3 13 8 32
1145 3 13 8 34
1146 1 13 8 38
1147 5 33 8 103
1148 5 33 8 107
1149 5 33 8 109
1150 5 33 8 113
1151 3 33 8 2
1152 3 33 8 4
1153 3 33 8 12
1154 3 33 8 14
1155 1 33 8 28
1156 1 33 8 32
1157 1 33 8 34
1158 1 33 8 38
1159 2 103 8 107
1160 2 103 8 109
1161 3 103 8 113
1162 2 103 8 2
