K2,K3,C11,C12,C44,L100,T100,L110,T110_1,T110_2,L111,T111
0.17,0.02,2.60211,0.113135,1.66874,2.60211,1.66874,2.19199,1.66874,1.24449,3.16778,1.3859
0.17,0.03,2.71524,0.0565675,1.66874,2.71524,1.66874,2.22028,1.66874,1.32934,3.16778,1.44247
0.17,0.04,2.82838,-1.15903e-10,1.66874,2.82838,1.66874,2.24856,1.66874,1.41419,3.16778,1.49904
0.17,0.05,2.94151,-0.0565675,1.66874,2.94151,1.66874,2.27684,1.66874,1.49904,3.16778,1.55561
0.18,0,2.4324,0.197986,1.72531,2.4324,1.72531,2.17785,1.72531,1.11721,3.24321,1.31991
0.18,0.01,2.54554,0.141419,1.72531,2.54554,1.72531,2.20613,1.72531,1.20206,3.24321,1.37648
0.18,0.02,2.65867,0.0848513,1.72531,2.65867,1.72531,2.23442,1.72531,1.28691,3.24321,1.43304
0.18,0.03,2.77181,0.0282838,1.72531,2.77181,1.72531,2.2627,1.72531,1.37176,3.24321,1.48961
0.18,0.04,2.88495,-0.0282838,1.72531,2.88495,1.72531,2.29099,1.72531,1.45661,3.24321,1.54618
0.18,0.05,2.99808,-0.0848513,1.72531,2.99808,1.72531,2.31927,1.72531,1.54147,3.24321,1.60275
0.19,0,2.48897,0.169703,1.78188,2.48897,1.78188,2.22028,1.78188,1.15963,3.31863,1.36705
0.19,0.01,2.60211,0.113135,1.78188,2.60211,1.78188,2.24856,1.78188,1.24449,3.31863,1.42362
0.19,0.02,2.71524,0.0565675,1.78188,2.71524,1.78188,2.27684,1.78188,1.32934,3.31863,1.48018
0.19,0.03,2.82838,-1.0836e-10,1.78188,2.82838,1.78188,2.30513,1.78188,1.41419,3.31863,1.53675
0.19,0.04,2.94151,-0.0565675,1.78188,2.94151,1.78188,2.33341,1.78188,1.49904,3.31863,1.59332
0.19,0.05,3.05465,-0.113135,1.78188,3.05465,1.78188,2.3617,1.78188,1.58389,3.31863,1.64989
